OBJECTID,COUNTY,CITY,COPRI,created_user,created_date,last_edited_user,last_edited_date,CreationDate,Creator,EditDate,Editor,Shape__Area,Shape__Length
94,Contra Costa County,Unincorporated,07000,,,,,,,,,9856619.6484375,47619.5326486177
95,Contra Costa County,Unincorporated,07000,,,,,,,,,10209877.6796875,15315.0068610589
96,Contra Costa County,Unincorporated,07000,,,,,,,,,145222920.4375,86790.2385818774
97,Contra Costa County,Unincorporated,07000,,,,,,,,,1795971930.3302,655892.039679332
98,Contra Costa County,Unincorporated,07000,,,,,,,,,9034921.37109375,28136.2823612399
99,Contra Costa County,Walnut Creek,07009,,,,,,,,,82433189.9648438,116484.274813227
100,Del Norte County,Crescent City,08001,,,,,,,,,8959576.609375,22725.8541825757
101,Del Norte County,Crescent City,08001,,,,,,,,,2006979.8046875,6572.42459615731
102,Del Norte County,Unincorporated,08000,,,,,,,,,5716722577.39844,445963.584408783
103,El Dorado County,Placerville,09001,,,,,,,,,24896513.0546875,56151.0177614638
104,El Dorado County,South Lake Tahoe,09002,,,,,,,,,74955733.2304688,55722.3455087202
105,El Dorado County,Unincorporated,09000,,,,,,,,,7535435558.95313,573049.609850509
106,Fresno County,Clovis,10001,,,,,,,,,110673184.724131,99031.7335275563
107,Fresno County,Clovis,10001,,,,,,,,,17194.75,663.964001963876
108,Fresno County,Clovis,10001,,,,,,,,,2078017.8828125,7325.49291213506
109,Fresno County,Coalinga,10002,,,,,,,,,3988135.9609375,7964.80019415714
110,Fresno County,Coalinga,10002,,,,,,,,,3037769.87109375,8018.58692025466
111,Fresno County,Coalinga,10002,,,,,,,,,1798871.6015625,8994.80062438208
112,Fresno County,Coalinga,10002,,,,,,,,,17954243.0742188,34035.3985670485
113,Fresno County,Firebaugh,10003,,,,,,,,,15031914.5898438,35868.8513784125
114,Fresno County,Fowler,10004,,,,,,,,,10781721.7148438,29869.0372634556
115,Fresno County,Fresno,10005,,,,,,,,,20770047.4375,24082.1339215987
116,Fresno County,Fresno,10005,,,,,,,,,453785490.089844,422402.050350334
117,Fresno County,Huron,10015,,,,,,,,,5933887.23828125,11142.7079010517
118,Fresno County,Huron,10015,,,,,,,,,803170.8203125,6157.55777916997
119,Fresno County,Kerman,10013,,,,,,,,,13537759.8164063,22591.7578754874
120,Fresno County,Kingsburg,10006,,,,,,,,,15234275.171875,29900.6636647362
121,Fresno County,Mendota,10012,,,,,,,,,62014.265625,1351.75525376485
122,Fresno County,Mendota,10012,,,,,,,,,13249333.4570313,31679.4677432878
123,Fresno County,Mendota,10012,,,,,,,,,51254.69921875,1013.30885514898
124,Fresno County,Orange Cove,10014,,,,,,,,,7386628.66796875,17125.9037229725
125,Fresno County,Parlier,10007,,,,,,,,,37446.34765625,884.345400495361
126,Fresno County,Parlier,10007,,,,,,,,,64519.31640625,1021.31864992593
127,Fresno County,Parlier,10007,,,,,,,,,10063498.15625,23926.9029910471
128,Fresno County,Reedley,10008,,,,,,,,,22322358.5546875,36086.0010712442
129,Fresno County,Reedley,10008,,,,,,,,,802788.40234375,4887.5433352959
130,Fresno County,San Joaquin,10010,,,,,,,,,448162.671875,4812.93615227677
131,Fresno County,San Joaquin,10010,,,,,,,,,4224465.8828125,12287.8011711873
132,Fresno County,Sanger,10009,,,,,,,,,769660.57421875,3986.07051838752
133,Fresno County,Sanger,10009,,,,,,,,,24873140.6289063,33874.7803902879
134,Fresno County,Selma,10011,,,,,,,,,4486.90625,284.080852071471
135,Fresno County,Selma,10011,,,,,,,,,24160064.4921875,41475.2783756697
136,Fresno County,Unincorporated,10000,,,,,,,,,28064.0859375,976.21961155087
137,Fresno County,Unincorporated,10000,,,,,,,,,365505.1640625,2640.001036663
138,Fresno County,Unincorporated,10000,,,,,,,,,2331318.90234375,10750.479303136
139,Fresno County,Unincorporated,10000,,,,,,,,,785730.9609375,4155.35711869563
140,Fresno County,Unincorporated,10000,,,,,,,,,7672456.51953125,21211.0977957601
141,Fresno County,Unincorporated,10000,,,,,,,,,397958.58203125,3041.75601586392
142,Fresno County,Unincorporated,10000,,,,,,,,,1528105.79296875,7865.69338296106
143,Fresno County,Unincorporated,10000,,,,,,,,,2490996.73046875,11949.2175806013
144,Fresno County,Unincorporated,10000,,,,,,,,,4634598.95703125,18173.8985448889
145,Fresno County,Unincorporated,10000,,,,,,,,,3224789.8125,11645.0753759665
146,Fresno County,Unincorporated,10000,,,,,,,,,2294532.88671875,9951.96855133074
147,Fresno County,Unincorporated,10000,,,,,,,,,9536803.03515625,28398.2833606748
148,Fresno County,Unincorporated,10000,,,,,,,,,342591.359375,2972.710706746
149,Fresno County,Unincorporated,10000,,,,,,,,,6209084.06640625,22534.3647032683
150,Fresno County,Unincorporated,10000,,,,,,,,,407920.46484375,3527.88618178474
151,Fresno County,Unincorporated,10000,,,,,,,,,163292.34765625,1810.50904334584
152,Fresno County,Unincorporated,10000,,,,,,,,,306068.1875,3296.82053273959
153,Fresno County,Unincorporated,10000,,,,,,,,,375336.07421875,2502.79866967952
154,Fresno County,Unincorporated,10000,,,,,,,,,217931.4921875,2310.60680934002
155,Fresno County,Unincorporated,10000,,,,,,,,,1010305.96875,7426.46033636837
156,Fresno County,Unincorporated,10000,,,,,,,,,68478.86328125,1116.11631611633
157,Fresno County,Unincorporated,10000,,,,,,,,,857129.15625,4120.87099698495
158,Fresno County,Unincorporated,10000,,,,,,,,,1148234.05859375,6645.08951410882
159,Fresno County,Unincorporated,10000,,,,,,,,,212675.53125,1802.31013220391
160,Fresno County,Unincorporated,10000,,,,,,,,,517498.6953125,3048.42163903211
161,Fresno County,Unincorporated,10000,,,,,,,,,23475737190.0815,1740985.78122525
162,Fresno County,Unincorporated,10000,,,,,,,,,57579.93359375,960.738397512932
163,Fresno County,Unincorporated,10000,,,,,,,,,4138420.27234459,14446.0198954054
164,Glenn County,Orland,11001,,,,,,,,,13376446.2929688,25512.4333015191
165,Glenn County,Unincorporated,11000,,,,,,,,,5766099786.9375,439687.964156181
166,Glenn County,Willows,11002,,,,,,,,,117229.3984375,1433.5062956764
167,Glenn County,Willows,11002,,,,,,,,,12142514.328125,21194.3756439478
168,Humboldt County,Arcata,12001,,,,,,,,,3671371.60546875,8213.17514989307
169,Humboldt County,Arcata,12001,,,,,,,,,47712670.2578125,66946.615933515
170,Humboldt County,Blue Lake,12002,,,,,,,,,2928451.25390625,11721.4947477486
171,Humboldt County,Blue Lake,12002,,,,,,,,,5734.89453125,302.324908306917
172,Humboldt County,Eureka,12003,,,,,,,,,72595035.3984375,67001.7619021205
173,Humboldt County,Ferndale,12004,,,,,,,,,5185693.6484375,11752.2743273854
174,Humboldt County,Fortuna,12005,,,,,,,,,23527739.2734375,34275.280110279
175,Humboldt County,Rio Dell,12007,,,,,,,,,11666569.5820313,28074.4487845528
176,Humboldt County,Trinidad,12006,,,,,,,,,10482.90234375,489.396024941962
177,Humboldt County,Trinidad,12006,,,,,,,,,5872.12109375,368.034984554903
178,Humboldt County,Trinidad,12006,,,,,,,,,2912349.6171875,11544.3566789563
179,Humboldt County,Unincorporated,12000,,,,,,,,,18112068388.9688,923657.141611323
180,Imperial County,Brawley,13001,,,,,,,,,29655792.90625,33798.2579747889
181,Imperial County,Brawley,13001,,,,,,,,,223711.91015625,2195.46249737896
182,Imperial County,Calexico,13002,,,,,,,,,31092545.3828125,29188.1839816749
183,Imperial County,Calipatria,13003,,,,,,,,,5891653.796875,12011.0136568078
184,Imperial County,Calipatria,13003,,,,,,,,,930569.4140625,3859.19652846453
185,Imperial County,Calipatria,13003,,,,,,,,,6916028.28515625,11038.082834112
186,Imperial County,El Centro,13004,,,,,,,,,44692512.6796875,50458.9597162214
187,Imperial County,Holtville,13005,,,,,,,,,4277492.54296875,15518.7706230714
188,Imperial County,Imperial,13006,,,,,,,,,23161280.4882813,43030.9808725637
189,Imperial County,Unincorporated,13000,,,,,,,,,16414850843.5352,784894.257602538
190,Imperial County,Westmorland,13007,,,,,,,,,2092954.30859375,9224.60013770976
191,Imperial County,Westmorland,13007,,,,,,,,,186042.55859375,1885.60349293507
192,Inyo County,Bishop,14001,,,,,,,,,12847.91796875,453.396633672962
193,Inyo County,Bishop,14001,,,,,,,,,548409.76953125,3741.90997197945
194,Inyo County,Bishop,14001,,,,,,,,,20892.03125,587.168266309873
195,Inyo County,Bishop,14001,,,,,,,,,7146443.734375,15646.0602136327
196,Inyo County,Unincorporated,14000,,,,,,,,,41085988766.0938,1089636.62858118
197,Kern County,Arvin,15009,,,,,,,,,18685945.8046875,26372.5719742767
198,Kern County,Bakersfield,15001,,,,,,,,,3945696.9296875,7944.90796826285
199,Kern County,Bakersfield,15001,,,,,,,,,8750632.48046875,15793.423164564
200,Kern County,Bakersfield,15001,,,,,,,,,579400551.259676,480755.291655436
201,Kern County,Bakersfield,15001,,,,,,,,,7314893.30078125,21047.4050719059
202,Kern County,California,15011,,,,,,,,,789601385.0625,218609.172989761
203,Kern County,Delano,15002,,,,,,,,,67511647.5273438,64067.3759822737
204,Kern County,Delano,15002,,,,,,,,,498652.7421875,2992.62746490948
205,Kern County,Delano,15002,,,,,,,,,2973534.8125,7977.10423449411
206,Kern County,Maricopa,15003,,,,,,,,,5975737.296875,18475.6067881178
207,Kern County,McFarland,15008,,,,,,,,,27120640.0195313,40812.148631572
208,Kern County,Ridgecrest,15010,,,,,,,,,84507272.6523438,69272.945576684
209,Kern County,Shafter,15006,,,,,,,,,713572.09375,3914.52955087453
210,Kern County,Shafter,15006,,,,,,,,,1981478.37890625,5958.04462774904
211,Kern County,Shafter,15006,,,,,,,,,149125476.78125,85859.2415007389
212,Kern County,Taft,15004,,,,,,,,,58700865.640625,53480.179983984
213,Kern County,Tehachapi,15005,,,,,,,,,29221512.6054688,45246.6906945833
214,Kern County,Tehachapi,15005,,,,,,,,,10303246.8046875,16397.7635571675
215,Kern County,Tehachapi,15005,,,,,,,,,553964.76953125,4319.18208322737
216,Kern County,Unincorporated,15000,,,,,,,,,108619.62109375,1593.10422516453
217,Kern County,Unincorporated,15000,,,,,,,,,1284086.78515625,5076.04507491329
218,Kern County,Unincorporated,15000,,,,,,,,,743090.0859375,4517.95326637885
219,Kern County,Unincorporated,15000,,,,,,,,,133371.4609375,1529.47744590641
220,Kern County,Unincorporated,15000,,,,,,,,,467565.19140625,2899.94466868367
221,Kern County,Unincorporated,15000,,,,,,,,,1590602.2421875,6115.06699897842
222,Kern County,Unincorporated,15000,,,,,,,,,4375102.3203125,8879.93095113871
223,Kern County,Unincorporated,15000,,,,,,,,,82324.92578125,1304.48319439668
224,Kern County,Unincorporated,15000,,,,,,,,,5444367.83203125,23858.5490028661
225,Kern County,Unincorporated,15000,,,,,,,,,2971225.4375,12605.9407773719
226,Kern County,Unincorporated,15000,,,,,,,,,1986762.73046875,10005.2407763947
227,Kern County,Unincorporated,15000,,,,,,,,,279069.71875,2117.75387689764
228,Kern County,Unincorporated,15000,,,,,,,,,460485.921875,3236.85482933897
229,Kern County,Unincorporated,15000,,,,,,,,,108007.87890625,1489.93907757604
230,Kern County,Unincorporated,15000,,,,,,,,,301191.26953125,2469.25006755106
231,Kern County,Unincorporated,15000,,,,,,,,,308536.15234375,2327.55554452816
232,Kern County,Unincorporated,15000,,,,,,,,,2890699.5625,9655.30467516913
233,Kern County,Unincorporated,15000,,,,,,,,,1702860.73046875,6207.42359358415
234,Kern County,Unincorporated,15000,,,,,,,,,54324.71484375,1532.10025390338
235,Kern County,Unincorporated,15000,,,,,,,,,7298208.58203125,12556.01231146
236,Kern County,Unincorporated,15000,,,,,,,,,29936882256.7148,1863377.28958874
237,Kern County,Unincorporated,15000,,,,,,,,,2158081.060637,8748.93936554484
238,Kern County,Wasco,15007,,,,,,,,,37477412.890625,51022.8146128166
239,Kings County,Avenal,16004,,,,,,,,,77395839.203125,55437.1769040157
240,Kings County,Corcoran,16001,,,,,,,,,330027.2578125,2316.82563799538
241,Kings County,Corcoran,16001,,,,,,,,,345635.37890625,2854.35147874954
242,Kings County,Corcoran,16001,,,,,,,,,947945.85546875,8070.16413390803
243,Kings County,Corcoran,16001,,,,,,,,,28233180.765625,40764.1443789347
244,Kings County,Hanford,16002,,,,,,,,,64583.55078125,1060.18371360255
245,Kings County,Hanford,16002,,,,,,,,,73336175.6484375,76570.9417216402
246,Kings County,Hanford,16002,,,,,,,,,62588.33984375,1000.90135195332
247,Kings County,Hanford,16002,,,,,,,,,190525.7734375,1798.86350760201
248,Kings County,Lemoore,16003,,,,,,,,,524984.0703125,3698.40470635376
249,Kings County,Lemoore,16003,,,,,,,,,38651395.34375,37169.1974495499
250,Kings County,Unincorporated,16000,,,,,,,,,5309914879.08984,548686.424439904
251,Lake County,Clearlake,17002,,,,,,,,,45091874.0390625,59568.0066795447
252,Lake County,Lakeport,17001,,,,,,,,,10788.2734375,706.940791276528
253,Lake County,Lakeport,17001,,,,,,,,,142919.13671875,1850.30571969146
254,Lake County,Lakeport,17001,,,,,,,,,13285089.6835938,24223.3394463317
255,Lake County,Lakeport,17001,,,,,,,,,22802.16796875,615.629953389559
256,Lake County,Unincorporated,17000,,,,,,,,,5660108358.81641,554771.645694266
257,Lake County,Unincorporated,17000,,,,,,,,,10326.13671875,4810.70906649887
258,Lassen County,Susanville,18001,,,,,,,,,59582.64453125,3039.471943563
259,Lassen County,Susanville,18001,,,,,,,,,617079.16015625,3886.37099736381
260,Lassen County,Susanville,18001,,,,,,,,,7512591.0859375,12718.8150264694
261,Lassen County,Susanville,18001,,,,,,,,,27133682.2421875,46563.5514829396
262,Lassen County,Unincorporated,18000,,,,,,,,,21245300987.3672,842484.209912937
263,Lassen County,Unincorporated,18000,,,,,,,,,8558,402.515881875686
264,Los Angeles County,Agoura Hills,19205,,,,,,,,,29640798.453125,29626.8715823579
265,Los Angeles County,Alhambra,19206,,,,,,,,,28889652.3476563,25445.6354572743
266,Los Angeles County,Arcadia,19207,,,APRICE1,4/2/2025 10:52:07 PM,,,,,42097317.7695313,48740.3886721756
267,Los Angeles County,Artesia,19282,,,,,,,,,6106340.1171875,15049.4260326723
268,Los Angeles County,Avalon,19208,,,,,,,,,10716443.8164063,21000.9466975033
269,Los Angeles County,Azusa,19209,,,,,,,,,36612551.7617188,58572.233372261
270,Los Angeles County,Baldwin Park,19210,,,,,,,,,25649815.359375,32253.8510817374
271,Los Angeles County,Bell,19211,,,,,,,,,9891931.22265625,24080.3675493665
272,Los Angeles County,Bell Gardens,19213,,,,,,,,,9305824.5,14313.6548729116
273,Los Angeles County,Bellflower,19212,,,,,,,,,23295312.0234375,21806.6873916506
274,Los Angeles County,Beverly Hills,19215,,,,,,,,,21625161.3984375,32044.9062274237
275,Los Angeles County,Bradbury,19285,,,,,,,,,7453819.03515625,14372.8505317653
276,Los Angeles County,Burbank,19216,,,,,,,,,65816619.4101563,37683.5934041978
277,Los Angeles County,Calabasas,19222,,,,,,,,,52150873.6953125,54942.0261976314
278,Los Angeles County,Carson,19298,,,,,,,,,71273947.484375,46936.9709434732
279,Los Angeles County,Cerritos,19221,,,,,,,,,33337565.2226563,44048.3296681974
280,Los Angeles County,Claremont,19217,,,,,,,,,51039413.609375,55379.8960837303
281,Los Angeles County,Commerce,19290,,,,,,,,,24756897.7421875,34337.3723946645
282,Los Angeles County,Compton,19218,,,,,,,,,38055350.765625,65468.4263110508
283,Los Angeles County,Covina,19219,,,,,,,,,26657276.5039063,68601.7569295031
284,Los Angeles County,Cudahy,19293,,,,,,,,,4638685.48828125,12408.5766708577
285,Los Angeles County,Culver City,19220,,,,,,,,,19401715.3945313,43028.2409966035
286,Los Angeles County,Diamond Bar,19278,,,,,,,,,56226110.8710938,40757.8764288216
287,Los Angeles County,Downey,19223,,,,,,,,,47410454.8828125,33278.7781385021
288,Los Angeles County,Duarte,19225,,,APRICE1,4/2/2025 11:09:20 PM,,,,,25518716.4023438,42197.4085872245
289,Los Angeles County,El Monte,19226,,,,,,,,,36384169.6015625,39349.8710086622
290,Los Angeles County,El Segundo,19227,,,,,,,,,20541629.8203125,21428.0838089148
291,Los Angeles County,Gardena,19229,,,,,,,,,22068274.8828125,24259.6573288761
292,Los Angeles County,Glendale,19230,,,,,,,,,116110947.117188,70299.5753293171
293,Los Angeles County,Glendora,19231,,,,,,,,,74489145.8320313,61062.2531869431
294,Los Angeles County,Hawaiian Gardens,19296,,,,,,,,,3596379.63671875,9471.03780413727
295,Los Angeles County,Hawthorne,19232,,,,,,,,,22932831.3945313,40507.4172135187
296,Los Angeles County,Hermosa Beach,19233,,,,,,,,,5606031.359375,10582.4342735633
297,Los Angeles County,Hidden Hills,19294,,,,,,,,,6400388.58203125,15770.4476935121
298,Los Angeles County,Huntington Park,19234,,,,,,,,,11382576.9960938,24411.3981263984
299,Los Angeles County,Industry,19235,,,,,,,,,45505090.0117188,134900.944009898
300,Los Angeles County,Inglewood,19236,,,,,,,,,34180555.9609375,31655.8788741113
301,Los Angeles County,Inglewood,19236,,,,,,,,,155491.33203125,1605.09026902121
302,Los Angeles County,Irwindale,19286,,,,,,,,,36490812.4609375,48444.0906463877
303,Los Angeles County,La Cañada Flintridge,19228,,,,,,,,,32828443.71875,34057.7893937179
304,Los Angeles County,La Habra Heights,19300,,,,,,,,,23247586.609375,25696.4139611195
305,Los Angeles County,La Mirada,19291,,,,,,,,,29573685.4882813,29346.1936175732
306,Los Angeles County,La Puente,19238,,,,,,,,,13135629.9609375,32010.4291198327
307,Los Angeles County,La Verne,19239,,,,,,,,,32404781.6640625,43074.7103337199
308,Los Angeles County,Lakewood,19237,,,,,,,,,35582023.03125,45633.9583433413
309,Los Angeles County,Lancaster,19299,,,,,,,,,363038864.320313,251926.787394092
310,Los Angeles County,Lawndale,19240,,,,,,,,,7415014.328125,13572.3536561802
311,Los Angeles County,Lomita,19297,,,,,,,,,7211714.2109375,16503.2297605049
312,Los Angeles County,Long Beach,19241,,,,,,,,,69385.75390625,9837.50539803094
313,Los Angeles County,Long Beach,19241,,,,,,,,,77393.5859375,10559.4801987135
314,Los Angeles County,Long Beach,19241,,,,,,,,,70095.57421875,1171.42679722982
315,Los Angeles County,Long Beach,19241,,,,,,,,,87731.3359375,1337.33153725771
316,Los Angeles County,Long Beach,19241,,,,,,,,,75197.41015625,1167.94025092329
317,Los Angeles County,Long Beach,19241,,,,,,,,,48829.4921875,1013.12608844385
318,Los Angeles County,Long Beach,19241,,,,,,,,,134964.00390625,1353.17007061607
319,Los Angeles County,Long Beach,19241,,,,,,,,,2170.9296875,430.135507378327
320,Los Angeles County,Long Beach,19241,,,,,,,,,997582.95703125,5747.97447590664
321,Los Angeles County,Long Beach,19241,,,,,,,,,64968.96484375,1249.08556849657
322,Los Angeles County,Long Beach,19241,,,,,,,,,5418660.53125,19128.5287938772
323,Los Angeles County,Long Beach,19241,,,,,,,,,187817743.269531,177120.955136009
324,Los Angeles County,Los Angeles,19201,,,,,,,,,140.06640625,49.4176249220127
325,Los Angeles County,Los Angeles,19201,,,,,,,,,19084.38671875,1816.47573528129
326,Los Angeles County,Los Angeles,19201,,,,,,,,,24051.2734375,3147.013420475
327,Los Angeles County,Los Angeles,19201,,,,,,,,,12290275.359375,38344.1198167026
328,Los Angeles County,Los Angeles,19201,,,,,,,,,1780527170.34766,634269.081932148
329,Los Angeles County,Lynwood,19242,,,,,,,,,18262549.859375,26539.2007914555
330,Los Angeles County,Malibu,19224,,,,,,,,,74489792.0039063,92618.5108343415
331,Los Angeles County,Manhattan Beach,19243,,,,,,,,,14993987.421875,17640.4515756614
332,Los Angeles County,Maywood,19244,,,,,,,,,4448889.875,11066.8610101707
333,Los Angeles County,Monrovia,19245,,,APRICE1,4/2/2025 10:53:15 PM,,,,,52139376.2460938,53129.3240444928
334,Los Angeles County,Montebello,19246,,,,,,,,,31628699.28125,36601.5230591939
335,Los Angeles County,Monterey Park,19247,,,,,,,,,29264704.9101563,29351.8745323701
336,Los Angeles County,Norwalk,19248,,,,,,,,,36780648.3710938,33687.6054576241
337,Los Angeles County,Palmdale,19295,,,,,,,,,407233502.195313,253015.728132425
338,Los Angeles County,Palos Verdes Estates,19249,,,,,,,,,17982785.4296875,26600.5992588792
