OBJECTID,CDTFA_COUNTY,CDTFA_COPRI,CENSUS_PLACE_NAME,CENSUS_GEOID,CENSUS_PLACE_TYPE,GNIS_PLACE_NAME,GNIS_ID,CDT_COUNTY_ABBR,PRIMARY_DOMAIN,CENSUS_POPULATION,CDT_NAME_SHORT,OFFSHORE,AREA_SQMI,GlobalID
36,San Bernardino County,36000,San Bernardino County,06071,County,San Bernardino County,277300,SBD,,,San Bernardino,,20106.2081827222,1d17f2ed-a4e9-4cc1-ab49-a7c9ddfdc7f9
37,San Diego County,37000,San Diego County,06073,County,San Diego County,277301,SDO,,,San Diego,,4259.05392486605,e3380520-079c-4dbd-a625-3cbdfee4bc71
38,San Francisco County,38000,San Francisco County,06075,County,San Francisco County,,SFC,,,San Francisco,,47.2963275044277,7988a44c-6484-4aee-af73-446f89779d98
39,San Joaquin County,39000,San Joaquin County,06077,County,San Joaquin County,277303,SJQ,,,San Joaquin,,1426.11842248475,67b1661a-5e91-4175-983f-6060a49ca959
40,San Luis Obispo County,40000,San Luis Obispo County,06079,County,San Luis Obispo County,277304,SLO,,,San Luis Obispo,,3322.83390671674,412eebb4-3fc1-44db-8149-84ecd6e19ef0
41,San Mateo County,41000,San Mateo County,06081,County,San Mateo County,277305,SMO,,,San Mateo,,455.256927223479,29999f93-09d8-480a-9a48-910e555687ea
42,Santa Barbara County,42000,Santa Barbara County,06083,County,Santa Barbara County,277306,SBC,,,Santa Barbara,,2745.59380550167,ad5810e7-97e5-4b5f-93ac-9b010e077386
43,Santa Clara County,43000,Santa Clara County,06085,County,Santa Clara County,277307,SCL,,,Santa Clara,,1300.67268817912,1eda1dd1-f6eb-41be-a35b-462b7437d537
44,Santa Cruz County,44000,Santa Cruz County,06087,County,Santa Cruz County,277308,SCR,,,Santa Cruz,,446.128076788607,9c42d79f-23aa-47b6-aecc-2b96e0b5891f
45,Shasta County,45000,Shasta County,06089,County,Shasta County,1682610,SHA,,,Shasta,,3852.10251955634,0e63e622-65c0-484c-88c0-1909859bb85f
46,Sierra County,46000,Sierra County,06091,County,Sierra County,277310,SIE,,,Sierra,,961.051325087229,509620ef-29f0-4192-a0f5-d2a2d43aeefb
47,Siskiyou County,47000,Siskiyou County,06093,County,Siskiyou County,277311,SIS,,,Siskiyou,,6347.28775743808,ac010863-005e-46d1-b671-01d662e0a768
48,Solano County,48000,Solano County,06095,County,Solano County,277312,SOL,,,Solano,,851.762555062759,3bdc3fe5-269a-49d1-93ac-52109242e6d4
49,Sonoma County,49000,Sonoma County,06097,County,Sonoma County,1657246,SON,,,Sonoma,,1590.21123498288,81527a1a-7df7-40f2-aba7-f0203f719cfd
50,Stanislaus County,50000,Stanislaus County,06099,County,Stanislaus County,277314,STA,,,Stanislaus,,1516.42801780026,62da8d74-053a-44cb-9faa-7cf76b20799c
51,Sutter County,51000,Sutter County,06101,County,Sutter County,277315,SUT,,,Sutter,,608.453744519682,3082cb1c-9ba9-4e06-9f93-f42ecdfc5e3c
52,Tehama County,52000,Tehama County,06103,County,Tehama County,1692767,TEH,,,Tehama,,2957.851830768,41b9ff70-dda4-42f1-a594-1cd93ef71e3b
53,Trinity County,53000,Trinity County,06105,County,Trinity County,277317,TRI,,,Trinity,,3207.44817608571,3af42e41-5867-4404-a53c-b333bc2991ce
54,Tulare County,54000,Tulare County,06107,County,Tulare County,277318,TUL,,,Tulare,,4837.15591011857,5b525992-7c0d-43fe-b124-2789a9601e03
55,Tuolumne County,55000,Tuolumne County,06109,County,Tuolumne County,277319,TUO,,,Tuolumne,,2275.41337343473,bb85833e-fc20-41aa-982d-6848caaf7b4e
56,Ventura County,56000,Ventura County,06111,County,Ventura County,277320,VEN,,,Ventura,,1855.75025449085,ba97c51a-72bf-4946-bc5a-7a98ac042d71
57,Yolo County,57000,Yolo County,06113,County,Yolo County,277321,YOL,,,Yolo,,1021.39855174768,a8680980-15a0-4577-9a5b-f7677924455e
58,Yuba County,58000,Yuba County,06115,County,Yuba County,277322,YUB,,,Yuba,,643.702231426439,25cd48b7-dcb4-459c-9a20-caa00c1b81eb
